,X.1,Year,Name,Age,Team,Position,MPG,FGM3,FGA3,FGM2,FGA2,FTM,FTA,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,X,EST_Points,EST_FTM,EST_FTA,EST_FGM2,EST_FGA2,EST_FGM3,EST_FGA3,EST_MPG,EST_Offensive_Rebounds,EST_Defensive_Rebounds,EST_Total_Rebounds,EST_Assists,EST_Steals,EST_Blocks,EST_Turnovers,EST_Fouls,ESPN_Fantasy_Score,EST_ESPN_Fantasy_Score,Yahoo_Fantasy_Score,EST_Yahoo_Fantasy_Score,Likelihood
111,111,2022,Justin Robinson,24,TOT,PG,12.2,0.7,2.4,0.4,1.3,0.2,0.3,0.2,0.7,0.9,1.3,0.4,0,0.7,1.1,3.1,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,6.63,NA,NA
112,112,2022,Kelly Oubre Jr.,26,CHO,SF,28.2,2.9,7.8,3.2,5.5,1.6,2.3,1,3,4,1.2,1.1,0.4,1.1,2.5,16.6,180,15.01536111,2.342688731,3.212749766,3.816665766,7.240696694,1.669885442,5.170816415,28.58471744,1.254496547,4.118650766,5.373147313,1.249743224,0.964392233,0.643455901,1.036354594,2.334250187,27.9,26.60809193,26.6,27.12494253,0.015725372
113,113,2022,Talen Horton-Tucker,21,LAL,SG,27.6,0.8,3.3,3.3,6.9,1.8,2.2,0.7,3.1,3.8,2.7,1,0.4,1.6,2.8,10.9,134,10.4080297,1.673123208,2.211973666,3.248139739,5.871084937,0.842463765,2.604350832,21.79940389,0.527060254,2.153903726,2.680963979,2.590471311,1.118576376,0.351399943,1.628163463,1.966402624,20.9,20.9028992,22.11,20.29265894,0.001734808
114,114,2022,Donovan Mitchell,25,UTA,SG,33.4,3.3,9.4,6.1,11.2,3.7,4.2,0.8,3,3.8,5.1,1.6,0.2,2.9,2.6,25.7,319,25.47393488,4.567777903,5.493198869,5.85425764,11.8653416,3.191675579,8.402067579,32.79550466,0.892987937,3.526957066,4.419945003,5.005229179,1.077834225,0.32417376,2.80975891,2.284011674,42.1,39.98356423,40.41,39.6819777,0.924674383
115,115,2022,Garrett Temple,35,NOP,SG,19.6,1.3,3.5,0.9,1.9,0.6,0.8,0.6,2.2,2.8,1.3,0.8,0.4,0.9,1.6,6.1,356,7.390418911,0.479957288,0.644819398,1.349620107,2.670334787,1.374706309,4.060782935,23.55613005,0.457550931,2.181476761,2.639027692,1.587319692,0.684949126,0.455561199,0.752990665,1.823845413,14.6,16.18752527,14.11,15.60677199,2.83E-05
116,116,2022,Cam Reddish,22,ATL,SF,23.4,1.7,4.5,2.4,5.6,2.1,2.4,0.6,1.9,2.5,1.1,1,0.3,1.3,1.3,11.9,117,12.42585796,2.500732633,3.152747311,2.828546116,6.000684808,1.490196866,5.035953094,28.82722629,0.821871612,3.47971917,4.301590782,1.702517373,1.228003517,0.428139809,1.440534387,2.424317501,18.7,22.31501827,19.15,23.66943855,0.000374733
117,117,2022,Jordan Nwora,23,MIL,SF,21.1,1.6,4.3,1.9,4.1,0.4,0.6,0.7,3.4,4.1,1.1,0.5,0.4,1.1,1.2,9,69,6.644215875,0.786445208,0.949817247,1.28494254,2.698604325,1.020639176,2.421862838,12.94856532,0.44830982,2.066999171,2.515308991,0.394095695,0.548394554,0.262262709,0.735226978,1.120745086,16.7,12.06785476,17.17,11.95047502,0.001238293
118,118,2022,Jonathan Kuminga,19,GSW,SF,10.5,0.4,1.4,1.8,3.2,1.1,1.8,0.5,1.4,1.9,0.4,0.4,0.2,0.6,1.4,5.9,21,9.492339777,1.318067844,1.910914678,3.029130515,6.499391782,0.870246567,3.226481913,23.18541739,0.748203927,3.235419799,3.983623726,2.327421514,0.618984262,0.372874431,1.717613795,1.912240547,9.3,17.01329392,9.98,19.0217828,0.000369929
119,119,2022,Dennis Schröder,28,BOS,SG,31.5,1.4,4.2,4.2,8.9,3,3.5,0.6,2.8,3.4,4.4,0.8,0.1,2.3,2.5,15.7,396,14.75787824,2.884015866,3.38318811,4.033857905,8.269271972,1.381778853,3.806027312,29.00550267,0.431475234,2.90995916,3.341434394,5.102884488,0.870393305,0.197933939,2.468819568,2.186903463,25.9,27.27933229,26.78,27.15808841,0.016710138
120,120,2022,Sam Dekker,27,TOR,PF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,6.498886922,0.796012942,1.122961437,1.902195275,3.129198231,0.692775692,2.147997893,16.94735665,0.743348619,2.428807428,3.172156047,1.13836361,0.542797643,0.167604303,0.499960861,1.301134881,0,14.06802926,0,13.64426457,1.31E-06
121,121,2022,Juancho Hernangómez,26,BOS,PF,5.3,0.2,1,0.1,0.5,0.3,0.5,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1,200,6.998382613,1.09787984,1.699004991,1.444949548,2.682185929,1.121223823,3.250887391,17.45085449,0.870438849,3.102649962,3.973088811,0.809631006,0.416593947,0.179930882,0.51922261,1.177051586,2.6,13.65775963,3.68,14.25088757,3.02E-06
122,122,2022,Tre Mann,20,OKC,PG,17.2,1,2.9,1.8,4.1,0.6,0.9,0.4,2,2.4,0.8,0.6,0.3,0.6,1.5,7.3,13,8.518444752,1.2013894,1.689036123,2.36379234,4.929109043,0.904374613,2.758336677,20.96758725,0.555335019,2.398027558,2.953362577,1.98425096,0.668925266,0.222208652,1.289550764,1.784306625,13,15.69135947,13.48,16.42270727,2.10E-05
